,starts,ends,modes,iterations,lengths
0,ajhar,paget,BFS,3013,9.0
1,ajhar,paget,Bi-BFS,205,10.0
2,ajhar,paget,A*,105,9.0
3,ajhar,paget,Bi-A*,207,10.0
4,hawks,redig,BFS,11022,9.0
5,hawks,redig,Bi-BFS,331,10.0
6,hawks,redig,A*,697,9.0
7,hawks,redig,Bi-A*,333,10.0
8,manes,tenty,BFS,4045,6.0
9,manes,tenty,Bi-BFS,103,7.0
10,manes,tenty,A*,73,6.0
11,manes,tenty,Bi-A*,105,7.0
12,oreas,soman,BFS,3355,8.0
13,oreas,soman,Bi-BFS,222,9.0
14,oreas,soman,A*,110,8.0
15,oreas,soman,Bi-A*,224,9.0
16,nieve,tipsy,BFS,5631,9.0
17,nieve,tipsy,Bi-BFS,134,10.0
18,nieve,tipsy,A*,87,9.0
19,nieve,tipsy,Bi-A*,136,10.0
20,insol,drusy,BFS,10472,12.0
21,insol,drusy,Bi-BFS,210,13.0
22,insol,drusy,A*,272,12.0
23,insol,drusy,Bi-A*,212,13.0
24,mazel,ketty,BFS,7423,8.0
25,mazel,ketty,Bi-BFS,273,9.0
26,mazel,ketty,A*,161,8.0
27,mazel,ketty,Bi-A*,275,9.0
28,hirse,misdo,BFS,12298,10.0
29,hirse,misdo,Bi-BFS,269,11.0
30,hirse,misdo,A*,1114,10.0
31,hirse,misdo,Bi-A*,271,11.0
32,dione,thrap,BFS,12455,11.0
33,dione,thrap,Bi-BFS,494,12.0
34,dione,thrap,A*,1440,11.0
35,dione,thrap,Bi-A*,496,12.0
36,marko,crust,BFS,7723,8.0
37,marko,crust,Bi-BFS,273,9.0
38,marko,crust,A*,71,8.0
39,marko,crust,Bi-A*,275,9.0
40,astian,blotty,BFS,17165,20.0
41,astian,blotty,Bi-BFS,1087,21.0
42,astian,blotty,A*,5938,20.0
43,astian,blotty,Bi-A*,1089,21.0
44,blazes,kuttab,BFS,9862,11.0
45,blazes,kuttab,Bi-BFS,318,12.0
46,blazes,kuttab,A*,496,11.0
47,blazes,kuttab,Bi-A*,320,12.0
48,laccic,browse,BFS,9869,19.0
49,laccic,browse,Bi-BFS,418,20.0
50,laccic,browse,A*,605,19.0
51,laccic,browse,Bi-A*,420,20.0
52,constr,suplex,BFS,1,inf
53,constr,suplex,Bi-BFS,1,inf
54,constr,suplex,A*,2,inf
55,constr,suplex,Bi-A*,2,inf
56,choppy,emboly,BFS,20614,26.0
57,choppy,emboly,Bi-BFS,838,27.0
58,choppy,emboly,A*,19850,26.0
59,choppy,emboly,Bi-A*,840,27.0
60,gratae,yaguas,BFS,20685,inf
61,gratae,yaguas,Bi-BFS,5,inf
62,gratae,yaguas,A*,20686,inf
63,gratae,yaguas,Bi-A*,3,inf
64,lourdy,gledge,BFS,4,inf
65,lourdy,gledge,Bi-BFS,5,inf
66,lourdy,gledge,A*,5,inf
67,lourdy,gledge,Bi-A*,6,inf
68,elliot,pizzle,BFS,1,inf
69,elliot,pizzle,Bi-BFS,1,inf
70,elliot,pizzle,A*,2,inf
71,elliot,pizzle,Bi-A*,2,inf
72,endows,marita,BFS,2376,15.0
73,endows,marita,Bi-BFS,346,16.0
74,endows,marita,A*,303,15.0
75,endows,marita,Bi-A*,348,16.0
76,telang,bussed,BFS,1,inf
77,telang,bussed,Bi-BFS,1,inf
78,telang,bussed,A*,2,inf
79,telang,bussed,Bi-A*,2,inf
80,septics,bitumed,BFS,7,inf
81,septics,bitumed,Bi-BFS,6,inf
82,septics,bitumed,A*,8,inf
83,septics,bitumed,Bi-A*,9,inf
84,alpines,serging,BFS,9,inf
85,alpines,serging,Bi-BFS,10,inf
86,alpines,serging,A*,10,inf
87,alpines,serging,Bi-A*,11,inf
88,hangars,scorpio,BFS,13163,inf
89,hangars,scorpio,Bi-BFS,3,inf
90,hangars,scorpio,A*,13164,inf
91,hangars,scorpio,Bi-A*,4,inf
92,jointer,sexless,BFS,9293,19.0
93,jointer,sexless,Bi-BFS,2329,20.0
94,jointer,sexless,A*,4120,19.0
95,jointer,sexless,Bi-A*,2331,20.0
96,sleekly,plebian,BFS,1,inf
97,sleekly,plebian,Bi-BFS,1,inf
98,sleekly,plebian,A*,2,inf
99,sleekly,plebian,Bi-A*,2,inf
100,cadlock,drabble,BFS,13163,inf
101,cadlock,drabble,Bi-BFS,125,inf
102,cadlock,drabble,A*,13164,inf
103,cadlock,drabble,Bi-A*,127,inf
104,earache,odinite,BFS,1,inf
105,earache,odinite,Bi-BFS,1,inf
106,earache,odinite,A*,2,inf
107,earache,odinite,Bi-A*,2,inf
108,adhered,amidins,BFS,3,inf
109,adhered,amidins,Bi-BFS,4,inf
110,adhered,amidins,A*,4,inf
111,adhered,amidins,Bi-A*,5,inf
112,impasse,himatia,BFS,3,inf
113,impasse,himatia,Bi-BFS,3,inf
114,impasse,himatia,A*,4,inf
115,impasse,himatia,Bi-A*,3,inf
116,dueller,weeshee,BFS,13163,inf
117,dueller,weeshee,Bi-BFS,2,inf
118,dueller,weeshee,A*,13164,inf
119,dueller,weeshee,Bi-A*,3,inf
120,unnimble,sacatons,BFS,2,inf
121,unnimble,sacatons,Bi-BFS,2,inf
122,unnimble,sacatons,A*,3,inf
123,unnimble,sacatons,Bi-A*,4,inf
124,bathroom,aberrant,BFS,3,inf
125,bathroom,aberrant,Bi-BFS,3,inf
126,bathroom,aberrant,A*,4,inf
127,bathroom,aberrant,Bi-A*,3,inf
128,maywings,unchased,BFS,2,inf
129,maywings,unchased,Bi-BFS,2,inf
130,maywings,unchased,A*,3,inf
131,maywings,unchased,Bi-A*,4,inf
132,cordlike,carbines,BFS,1769,inf
133,cordlike,carbines,Bi-BFS,332,inf
134,cordlike,carbines,A*,1770,inf
135,cordlike,carbines,Bi-A*,334,inf
136,omohyoid,senatrix,BFS,1,inf
137,omohyoid,senatrix,Bi-BFS,1,inf
138,omohyoid,senatrix,A*,2,inf
139,omohyoid,senatrix,Bi-A*,2,inf
140,eyewinks,solanoid,BFS,1,inf
141,eyewinks,solanoid,Bi-BFS,1,inf
142,eyewinks,solanoid,A*,2,inf
143,eyewinks,solanoid,Bi-A*,2,inf
144,stenting,cheetahs,BFS,1769,inf
145,stenting,cheetahs,Bi-BFS,2,inf
146,stenting,cheetahs,A*,1770,inf
147,stenting,cheetahs,Bi-A*,3,inf
148,skulking,dysergia,BFS,1769,inf
149,skulking,dysergia,Bi-BFS,2,inf
150,skulking,dysergia,A*,1770,inf
151,skulking,dysergia,Bi-A*,3,inf
152,heptitol,demiwolf,BFS,1,inf
153,heptitol,demiwolf,Bi-BFS,1,inf
154,heptitol,demiwolf,A*,2,inf
155,heptitol,demiwolf,Bi-A*,2,inf
156,worthily,tigellum,BFS,1,inf
157,worthily,tigellum,Bi-BFS,1,inf
158,worthily,tigellum,A*,2,inf
159,worthily,tigellum,Bi-A*,2,inf
160,demieagle,pigritude,BFS,1,inf
161,demieagle,pigritude,Bi-BFS,1,inf
162,demieagle,pigritude,A*,2,inf
163,demieagle,pigritude,Bi-A*,2,inf
164,vistaless,viosterol,BFS,1,inf
165,vistaless,viosterol,Bi-BFS,1,inf
166,vistaless,viosterol,A*,2,inf
167,vistaless,viosterol,Bi-A*,2,inf
168,emplecton,backfield,BFS,1,inf
169,emplecton,backfield,Bi-BFS,1,inf
170,emplecton,backfield,A*,2,inf
171,emplecton,backfield,Bi-A*,2,inf
172,venezuela,phocacean,BFS,1,inf
173,venezuela,phocacean,Bi-BFS,1,inf
174,venezuela,phocacean,A*,2,inf
175,venezuela,phocacean,Bi-A*,2,inf
176,retinitis,praiseful,BFS,2,inf
177,retinitis,praiseful,Bi-BFS,2,inf
178,retinitis,praiseful,A*,3,inf
179,retinitis,praiseful,Bi-A*,3,inf
180,dryfarmer,antennata,BFS,1,inf
181,dryfarmer,antennata,Bi-BFS,1,inf
182,dryfarmer,antennata,A*,2,inf
183,dryfarmer,antennata,Bi-A*,2,inf
184,crocosmia,semipagan,BFS,1,inf
185,crocosmia,semipagan,Bi-BFS,1,inf
186,crocosmia,semipagan,A*,2,inf
187,crocosmia,semipagan,Bi-A*,2,inf
188,permutate,lecidioid,BFS,1,inf
189,permutate,lecidioid,Bi-BFS,1,inf
190,permutate,lecidioid,A*,2,inf
191,permutate,lecidioid,Bi-A*,2,inf
192,undazzled,isocyanic,BFS,1,inf
193,undazzled,isocyanic,Bi-BFS,1,inf
194,undazzled,isocyanic,A*,2,inf
195,undazzled,isocyanic,Bi-A*,2,inf
196,pyroboric,blatiform,BFS,1,inf
197,pyroboric,blatiform,Bi-BFS,1,inf
198,pyroboric,blatiform,A*,2,inf
199,pyroboric,blatiform,Bi-A*,2,inf
200,underdraft,tenthmetre,BFS,4,inf
201,underdraft,tenthmetre,Bi-BFS,2,inf
202,underdraft,tenthmetre,A*,5,inf
203,underdraft,tenthmetre,Bi-A*,3,inf
204,eucharists,sphegoidea,BFS,2,inf
205,eucharists,sphegoidea,Bi-BFS,2,inf
206,eucharists,sphegoidea,A*,3,inf
207,eucharists,sphegoidea,Bi-A*,4,inf
208,honeyfogle,untheatric,BFS,2,inf
209,honeyfogle,untheatric,Bi-BFS,2,inf
210,honeyfogle,untheatric,A*,3,inf
211,honeyfogle,untheatric,Bi-A*,3,inf
212,superbrute,rabblelike,BFS,1,inf
213,superbrute,rabblelike,Bi-BFS,1,inf
214,superbrute,rabblelike,A*,2,inf
215,superbrute,rabblelike,Bi-A*,2,inf
216,blastoderm,submucosae,BFS,1,inf
217,blastoderm,submucosae,Bi-BFS,1,inf
218,blastoderm,submucosae,A*,2,inf
219,blastoderm,submucosae,Bi-A*,2,inf
220,dramatised,triglochid,BFS,5,inf
221,dramatised,triglochid,Bi-BFS,3,inf
222,dramatised,triglochid,A*,6,inf
223,dramatised,triglochid,Bi-A*,4,inf
224,bryologist,corkmaking,BFS,1,inf
225,bryologist,corkmaking,Bi-BFS,1,inf
226,bryologist,corkmaking,A*,2,inf
227,bryologist,corkmaking,Bi-A*,2,inf
228,acronymous,microdrive,BFS,1,inf
229,acronymous,microdrive,Bi-BFS,1,inf
230,acronymous,microdrive,A*,2,inf
231,acronymous,microdrive,Bi-A*,2,inf
232,coheirship,whirlpools,BFS,1,inf
233,coheirship,whirlpools,Bi-BFS,1,inf
234,coheirship,whirlpools,A*,2,inf
235,coheirship,whirlpools,Bi-A*,2,inf
