,starts,ends,bfs-iterations,bfs-lengths,bi-bfs-iterations,bi-bfs-lengths,astar-iterations,astar-lengths,bi-astar-iterations,bi-astar-lengths
0,verbs,becks,2653,7.0,128,8.0,117,7.0,130,8.0
1,ansel,twins,2697,9.0,163,10.0,65,9.0,165,10.0
2,titre,uparm,12397,12.0,642,13.0,1094,12.0,644,13.0
3,lorre,caulk,6429,8.0,111,9.0,67,8.0,113,9.0
4,taupo,bahoo,10250,10.0,153,11.0,342,10.0,155,11.0
5,korea,heild,7591,9.0,161,10.0,93,9.0,163,10.0
6,aramu,kobus,13069,12.0,1179,13.0,2934,12.0,1181,13.0
7,kakis,maker,315,5.0,25,6.0,12,5.0,27,6.0
8,cheer,garce,9306,9.0,308,10.0,254,9.0,310,10.0
9,evers,brash,5165,9.0,160,10.0,106,9.0,162,10.0
10,toluyl,holing,2,inf,2,inf,3,inf,4,inf
11,pulped,rectus,13431,12.0,167,13.0,2617,12.0,169,13.0
12,recalk,elvish,20685,inf,3,inf,20686,inf,4,inf
13,excess,quartz,8,inf,9,inf,9,inf,10,inf
14,gadaea,movent,2,inf,2,inf,3,inf,4,inf
15,plangi,fogram,1,inf,1,inf,2,inf,2,inf
16,vimful,ensnow,5,inf,7,inf,6,inf,7,inf
17,tythed,bleats,15659,15.0,1168,16.0,5877,15.0,1170,16.0
18,hexdra,shrine,1,inf,1,inf,2,inf,2,inf
19,bramah,raetam,1,inf,1,inf,2,inf,2,inf
20,buttony,fabling,5,inf,6,inf,6,inf,7,inf
21,messman,lyrisms,2,inf,2,inf,3,inf,4,inf
22,pharynx,zeuzera,1,inf,1,inf,2,inf,2,inf
23,scammer,refused,10474,24.0,1957,25.0,5824,24.0,1959,25.0
24,chargee,showful,13163,inf,9,inf,13164,inf,11,inf
25,celtist,ketones,13163,inf,10,inf,13164,inf,11,inf
26,yogoite,boskets,1,inf,1,inf,2,inf,2,inf
27,protyle,isazoxy,13163,inf,2,inf,13164,inf,3,inf
28,astroid,aggrate,1,inf,1,inf,2,inf,2,inf
29,festuca,invokes,5,inf,6,inf,6,inf,7,inf
30,futurist,tholeite,2,inf,2,inf,3,inf,3,inf
31,disvelop,yahooism,1,inf,1,inf,2,inf,2,inf
32,vicarius,barbican,2,inf,2,inf,3,inf,4,inf
33,strumose,postings,1,inf,1,inf,2,inf,2,inf
34,vamphorn,tedescan,1,inf,1,inf,2,inf,2,inf
35,datebook,stanzaic,1,inf,1,inf,2,inf,2,inf
36,snouting,champing,552,9.0,109,10.0,91,9.0,111,10.0
37,cordwood,truthful,6,inf,8,inf,7,inf,9,inf
38,brittled,zareebas,13,inf,2,inf,14,inf,3,inf
39,sotadean,fuchsias,1,inf,1,inf,2,inf,2,inf
40,ennoblers,amyotonia,1,inf,1,inf,2,inf,2,inf
41,searcloth,laagering,1,inf,1,inf,2,inf,2,inf
42,variative,octachord,1,inf,1,inf,2,inf,2,inf
43,osteology,veuglaire,1,inf,1,inf,2,inf,2,inf
44,semblable,hebrewess,2,inf,2,inf,3,inf,3,inf
45,dysphotic,prostrike,5,inf,2,inf,6,inf,3,inf
46,bystander,shoehorns,1,inf,1,inf,2,inf,2,inf
47,circaetus,macrocyte,1,inf,1,inf,2,inf,2,inf
48,filtering,tangerine,88,inf,3,inf,89,inf,3,inf
49,preunited,spiderlet,2,inf,2,inf,3,inf,3,inf
50,viscerally,antepenuit,1,inf,1,inf,2,inf,2,inf
51,mailsorter,conjecture,1,inf,1,inf,2,inf,2,inf
52,bookmaking,improviser,10,inf,11,inf,11,inf,12,inf
53,liferenter,hypoptosis,2,inf,2,inf,3,inf,3,inf
54,immurement,furfuramid,1,inf,1,inf,2,inf,2,inf
55,unprincess,ophiolater,1,inf,1,inf,2,inf,2,inf
56,biliprasin,predespond,1,inf,1,inf,2,inf,2,inf
57,bellingham,warehouses,1,inf,1,inf,2,inf,2,inf
58,replunging,auriculare,1,inf,1,inf,2,inf,2,inf
59,pneumotomy,sinapoline,1,inf,1,inf,2,inf,2,inf
